SampleID,Salinity,Moisture,Management,Use,Manure
A1,2.8,1,SF,Haypastu,4
A2,3.5,1,BF,Haypastu,2
A3,4.3,2,SF,Haypastu,4
A4,4.2,2,SF,Haypastu,4
B1,6.3,1,HF,Hayfield,2
B2,4.3,1,HF,Haypastu,2
B3,2.8,1,HF,Pasture,3
B4,4.2,5,HF,Pasture,3
B5,3.7,4,HF,Hayfield,1
B6,3.3,2,BF,Hayfield,1
B7,3.5,1,BF,Pasture,1
C1,5.8,4,SF,Haypastu,2
C2,6,5,SF,Haypastu,3
D1,9.3,5,NM,Pasture,0
D2,11.5,5,NM,Haypastu,0
C3,5.7,5,SF,Pasture,3
D3,4,2,NM,Hayfield,0
D4,4.6,1,NM,Hayfield,0
D5,3.7,5,NM,Hayfield,0
D6,3.5,5,NM,Hayfield,0
